# Some extra glyph names that were encountered
.notdef;FFFD
# ============================================== LiteraturnayaT1
hyphenchar;002D
# ============================================== OmegaSerifGreek
Upsilonhook;03D2
betacurled;03D0
rhoscript;03F1
omegapi;03D6
iotainvertedcircumflex;21290330
qoppavariant;03D9
guillemotleftgreek;00AB
guillemotrightgreek;00BB
alphaupogegrammeni;1FB3
etaupogegrammeni;1FC3
omegaupogegrammeni;1FF3
Sigmalunate;03F9
Stigma;03DA
stigma;03DB
Qoppa;03D8
qoppa;03DF
Sampi;03E0
sampi;03E1
Iotadiaeresis;03AA
Upsilondiaeresis;03AB
digamma;03DD
digammavariant;03DD

dasianarrow;1FFE
psilinarrow;1FBF
varianarrow;1FEF
oxianarrow;1FFD
perispomeninarrow;1FC0
perispomenivariantnarrow;1FC0
dasiavarianarrow;1FDD
dasiaoxianarrow;1FDE
dasiaperispomeninarrow;1FDF
dasiaperispomenivariantnarrow;1FDF
psilivarianarrow;1FCD
psilioxianarrow;1FCE
psiliperispomeninarrow;1FCF
psiliperispomenivariantnarrow;1FCF
makronnarrow;00AF
vrachynarrow;02D8

dasia;1FFE
psili;1FBF
varia;1FEF
oxia;1FFD
perispomeni;1FC0
perispomenivariant;1FC0
dasiavaria;1FDD
dasiaoxia;1FDE
dasiaperispomeni;1FDF
dasiaperispomenivariant;1FDF
psilivaria;1FCD
psilioxia;1FCE
psiliperispomeni;1FCF
psiliperispomenivariant;1FCF
makron;00AF
vrachy;02D8

dasialarge;1FFE
psililarge;1FBF
varialarge;1FEF
oxialarge;1FFD
perispomenilarge;1FC0
perispomenivariantlarge;1FC0
dasiavarialarge;1FDD
dasiaoxialarge;1FDE
dasiaperispomenilarge;1FDF
dasiaperispomenivariantlarge;1FDF
psilivarialarge;1FCD
psilioxialarge;1FCE
psiliperispomenilarge;1FCF
psiliperispomenivariantlarge;1FCF
makronlarge;00AF
vrachylarge;02D8

iotadiaeresis;03CA
iotadiaeresisvaria;1FD2
iotadiaeresisoxia;1FD3
iotadiaeresisperispomeni;1FD7
iotadiaeresisperispomenivar;1FD7
iotadiaeresistonos;0390
upsilondiaeresis;03CB
upsilondiaeresisvaria;1FE2
upsilondiaeresisoxia;1FE3
upsilondiaeresisperispomeni;1FE7
upsilondiaeresisperispomenivar;1FE7
upsilondiaeresistonos;03B0

Alphaupogegrammeni;1FBC
Etaupogegrammeni;1FCC
Omegaupogegrammeni;1FFC
dexiakeraia;0374
aristerikeraia;0375
diaeresistonos;0385
upogegrammeni;037A
prosgegrammeni;1FBE
dieresisvaria;1FED
dieresisoxia;1FEE
dieresisperispomeni;1FC1
dieresisperispomenivariant;1FC1

varstigma;03C2
vardigamma;03DD
varStigma;03DA
Koppa;03DE
varKoppa;03DE
# =======================================================================================================
# MS WORD FONTS
# ============================================== Times New Roman
commaaccent;0313
undercommaaccent;0326
lillah;FDF2
smallv;065A
circumflex.arab;065B
patah.wide;05B7
bari.dotless;01310335
dot.one;FBB3
dot.twohoriz;FBB5
dot.threeup;FBB7
dot.threedown;FBB9
dot.twovert;FBBE
dot.four;FBBB
wavyhamza;0654
wasla;FBC2
# ============================================== Arial
elipsis;2026
j.dotless;0237
allah;FDF2
riyal;FDFC
# ============================================== Symbol
copyrightserif;00A9
copyrightsans;00A9
registerserif;00AE
registersans;00AE
trademarkserif;2122
trademarksans;2122
# ============================================== MT-Extra
approachlimit;2250
arrowlongbothv;2195
arrowdbllongbothv;21F3
arrowleftnosp;2190
arrowrightnosp;2192
arrowrtltnosp;2194
arrownesw;2922
arrownwse;2921
arrowpairrightleft;21C4
arrowrtoversmallarrowlt;2942
smallarrowltoverarrowrt;2944
harpoonrightleft;21CC
arrowrighttophalf;21C0
arrowleftbothalf;21BD
horizontalharpoonextender;23AF
leftwhitesqbracket;27E6
rightwhitesqbracket;27E7
leftwhitesqbrackettop;27E6
leftwhitesqbracketextender;27E6
leftwhitesqbracketbottom;27E6
rightwhitesqbrackettop;27E6
rightwhitesqbracketextender;27E6
rightwhitesqbracketbottom;27E6
ccwcontourintcircle;27F2
cwcontourintcircle;27F3
combarrowextender;23AF
deltaequal;225C
dncurlybracketleft;23DF
dncurlybracketmid;23DF
dncurlybracketright;23DF
dnsquarebracketleft;231E
dnsquarebracketright;231F
upsquarebracketleft;231C
upsquarebracketright;231D
dnsquarebracketextension;23AF
estimates;2259
gravenosp;0060
harpoonleftnosp;21BC
circumflexnosp;02C6
tildenosp;02DC
dotnosp;02D9
harpoonleftnospbelow;21BD
harpoonrightnosp;21C0
harpoonrightnospbelow;21C1
horizcurlybracketext;23AF
jointstatus;23E0
jointstatusleft;23E0
jointstatusright;23E0
jointstatusextension;23E0
lambdabar;019b
mho;2127
parallelogram;25B1
parallelto;2225
primerev;2035
rectangle;25AD
replacement;FFFD
ringoperator;2218
slurabove2char;23DC
slurabove3char;23DC
slurabove4char;23DC
circumflexnosp2char;02C6
circumflexnosp3char;02C6
circumflexnosp4char;02C6
tildenosp2char;02DC
tildenosp3char;02DC
tildenosp4char;02DC
upcurlybracketleft;23DE
upcurlybracketmid;23DE
upcurlybracketright;23DE
upslopeellipsis;22F0
downslopeellipsis;22F1
verticalbraceright;23DF
verticalbracketright;23B5
verticalbraceleft;23DE
verticalbracketleft;23B4
integralloop;25CB
doubleintegralloop;2B2D
trippleintegralloop;2B2D
exdoubleintegralloop;2B2D
extrippleintegralloop;2B2D
# upsquarebracketleft;
# upsquarebracketright;
# ============================================== DINPro
breveCyrLc;02D8
breveCyrUc;02D8
diedot;02D9
# ============================================== Wingdings3
a2opleftrt;2B80
# ============================================== LucidaSansUnicode
Io;0401
Acyril;0410
Be;0411
Ve;0412
Ge;0413
De;0414
Ie;0415
Zhe;0416
Ze;0417
Ii;0418
Iibreve;0419
Ka;041A
El;041B
Em;041C
En;041D
Ocyril;041E
Pecyril;041F
Er;0420
Es;0421
Te;0422
Ucyril;0423
Ef;0424
Kha;0425
Tse;0426
Che;0427
Sha;0428
Shcha;0429
Hard;042A
Yeri;042B
Soft;042C
Ecyrilrev;042D
Iu;042E
Ia;042F
acyril;0430
be;0431
ve;0432
ge;0433
de;0434
ie;0435
zhe;0436
ze;0437
ii;0438
iibreve;0439
ka;043A
el;043B
em;043C
en;043D
ocyril;043E
pecyril;043F
er;0440
es;0441
te;0442
ucyril;0443
ef;0444
kha;0445
tse;0446
che;0447
sha;0448
shcha;0449
hard;044A
yeri;044B
soft;044C
ecyrilrev;044D
iu;044E
ia;044F
io;0451
# ============================================== CenturySchoolbook
radicalex;203E
# ============================================== PhoneticNewton
ilong;006902D0
oopenlong;025402D0
schwalong;025902D0
ulong;007502D0
alohg;006102D0
ascriptlohg;025102D0
vinverted;028C
winverted;028D
epsilonreversed;025C
ash;00E6
dyoghlig;0064021D
yogh;021D
dezhlig;02A4
ezh;0292
iundotted;0131
jdotlessbarred;025F
mturnedlongright;0270
# vscript;????
# --- marks
lengthmark;02D0
halflengthmark;02D1
laminal;033B
vertsrokesuperior;02C8
vertstrokeinferior;02CC
umlaut;0308
umlautsubscript;0324
underbar;0320
underring;0325
halfringleftsubscript;031C
halfringrightsubscript;0339
loweringsubscript;031E
raisingsubscript;031D
bridgesubscript;032A
wedgesubscript;032C
archsubscript;032F
downstep;2193
upstep;2191
apostrophe;02BC
subtilda;0330
pipe;007C
teshlig;02A7
nlefthookatleft;0272
glottalstopbarred;02A1
drighttail;0256
nrighttai;0273
lrighttail;026D
mlefttailatright;0271
lyoghlig;026E
lbelted;026C
OEsmalllig;0276
rturnedrighttail;027B
rrighttail;027D
trighttail;0288
henghooktop;0267
glottalstoprevbarred;02A2
phooktop;01A5
qhooktop;02A0
srighttail;0282
ramshorns;0264
ghooktop;0260
ibarred;0268
ltilde;026B
bhooktop;0253
chooktop;0188
dhooktop;0257
zcurlytai;0291
jcurlytail;029D
khooktop;0199
thooktop;01AD
ubarred;0289
oelig;0153
zrighttail;0290
ccurlytail;0255
Gsmallhooktop;029B
hhooktop;0266
hcrossed;0127
gammasuperscript;1D5E
jsuperscript;02B2
lsuperscript;02E1
glottalstoprevsupscr;02C1
midtilde;007E
crosssuperscript;02DF
globalrise;2197
globalfall;2198
dblgrave;030F
dblacute;030B
seagullsubscript;033C
righthook;02DE
xhightone;02E5
hightone;02E6
midtone;02E7
lowtone;02E8
xlowtone;02E9
corner;02FA
bridgeinvsubscript;033A
plussubscript;031F
syllabicitymark;0329
retractedsubscript;0319
advancedsubscript;0318
dblpipe;01C1
pipedblbarred;01C2
toplig;0361
link;035C
iundottedbarred;01310335
jundotted;0237
jdotlessbarhooktop;0284
vscript;028B
# --- sub- and super-scripts
hsuperscript;02B0
nsuperscript;207F
wsuperscript;02B7
# ============================================== Some more
# 'hyphenminus' is, for some reason, not in (Adobe's) glyphlist.txt, there's only 'hyphen'
hyphenminus;002D
Hyphen;002D
# A weird glyph name from TimesET, encodes cyrillic 'e'
yright;0435
# Same as the 'apple' glyph name
applelogo;F8FF
# A dash in the Newton font
FL107;2014
# Accent; this is probably same as the so-called acute accent
Accent;0301
accent;0301
bot;22A5
bar.one;2015
bar.two;2015
check;2713
equaldotleftright;2252
nobreakspace;00A0
guillemotleft.cyr;00AB
guillemotright.cyr;00BB
emdash.cyr;2014
# mapstochar;22A6
mapstochar;27FC
trianglert;25B6
triangleopenrt;25B7
visiblespace;2423
SS;1E9E
squaremultiply;22a0
iintegdisplay;222C
midhorizellipsis;22ef
vertellipsis;22ee
harpoonupleft;21bf
squareplus;229E
arrowbarright;21A6
Box;25A1
bigintegralversion2;222B
trianglelefteqslant;22B4
BoldCircle;1F786
leftrightline;23AF
lessthanorequalangled;2A7D
greaterthanorequalangled;2A7E
integralex;23ae
EurDig;20AC
zero.slash;0030
# ============================================== Some weird version of LH-fonts
visualspace;2423
palochka;04c0
afii10073cedilla;0499
polishlcross;0141
hardspace;0020
# Compound Word Mark: https://mailman.ntg.nl/archives/list/ntg-pdftex@ntg.nl/thread/WSEI7BWVWD7W7MFKG54J4I6PG72HLER3/?sort=date
cwm;200c
notarrowright;219b
# ============================================== Mathematica2Mono
Radical1Extens;203E
Radical1;221A
Plus;002B
Equal;003D
CapPhi;03A6
CapOmega;03A9
CapXi;039E
CapPsi;03A8
CapDelta;0394
CapLambda;039B
CapTheta;0398
# ============================================== NewtonSymbol
Narrowboth;2194
Nellipsis;2026
# ============================================== EuclidSymbol
# This is most probably Horizontal Tab, but let's map it to SPACE instead
HT;0020
# ============================================== EuclidMathOne
backslashmath;29f9
circleminusalt;229d
squareminus;229f
box;25a1
# slashmath;29f8
slashmath;2215
dividesvar;2223
parallelvar;2225
doesnotdividevar;2224
notparalleltovar;2226
doesnotdivide;2224
notparallelto;2226
satisfy;22a8
force;22a9
tacktrpl;22aa
notsatisfy;22ad
notforce;22ae
notforceextr;22af
ringequal;2257
ringinequal;2256
imageorapproxequal;2253
geomequal;2251
difference;224f
geomequivalent;224e
minustilde;2242
almostorequal;224a
arrowtailright;21a3
dblarrowheadright;21a0
dblarrowheadleft;219e
arrowleftnot;219a
arrowrightnot;219b
arrowdblleftnot;21cd
arrowdblrightnot;21cf
arrowlongbothnot;21ae
arrowdbllongbothnot;21ce
dblarrowdown;21ca
arrowloopright;21ac
arrowloopleft;21ab
arrowsquiggleright;21dd
arrowwaveboth;21ad
arrowsemclockw;21b7
arrowsemanticlockw;21b6
arrowclockw;21bb
arrowanticlockw;21ba
multiopenright;22cc
maltesecross;2720
orunderscore;22bb
divideonmultiply;22c7
sigmalunate;03f2
Digamma;03dc
Fturn;2132
gmir;2141
bethmath;2136
gimelmath;2137
dalethmath;2138
# ============================================== EuclidMathTwo
trianglerightsld1;25b8
triangleleftsld1;25c2
triangrightequal;22b5
triangleftequal;22b4
nottriangleright;22EB
nottriangleleft;22EA
nottrianglerightequal;22ED
nottriangleleftequal;22EC
equalless;2a95
equalgreater;2a96
lessdblequal;2266
greaterdblequal;2267
lessequivlnt;2272
greaterequivlnt;2273
verymuchless;22D8
verymuchgreater;22D9
lessornoteql;2a87
greaterornoteql;2a88
notforcesextra;22AF
notgreaterequal;2271
notlessequal;2270
notlessorslnteql;2270
notgreaterorslnteql;2271
lessornotequalvetical;2268
greaterornotequalvertical;2269
lessnotequivlnt;22E6
greaternotequivlnt;22E7
lessbutnotapproxequal;2A89
greaterbutnotapproxequal;2A8A
greaterequalless;22DB
HV11373;2A8B
greaterdbleqlorless;2A8C
xor;22BB
perspcorrespond;2A5E
equalprecedes;22de
equalfollows;22df
precedesequalcurly;227c
followsequalcurly;227d
notpreceeds;2280
notfollows;2281
fork;22D4
# These four have no Unicode points, apparently:
# notequalnorless
# notequalnorgreater
# notlessdblequal
# notgreaterdblequal
precedequivlnt;227e
followsequivlnt;227f
precedsordblequivalent;2A85
succeedsordblequivalent;2A86
precedsnotequal;2AB1
succeedsnotequal;2AB2
notprecedsorequal;22E0
notsucceedsoreql;22E1
# These two have no Unicode points, apparently
# noteqlorprecede
# noteqlorsucceed
preceedsnotequal;22E0
followsnotequal;22E1
precedesnotdbleql;2AB5
succeedsnotdbleql;2AB6
preceedsnotsimilar;22E8
followsnotequivlnt;22E9
precedsnotdblequivalent;2AB9
succeedsnotdblequivalent;2ABA
curland;22CF
curlor;22CE
subsetdbl;22D0
supersetdbl;22D1
intersectiondbl;22D3
uniondbl;22D2
subsetdblequal;2AC5
supersetdblequal;2AC6
notreflexsubset;2288
notreflexsuperset;2289
notequalnorless;2A950338
notequalnorgreater;2A960338
noteqlorprecede;22DE0338
noteqlorsucceed;22DF0338
notsubsetordblequal;2AC50338
notsupersetordblequal;2AC60338
notreflexsubsetdbl;2AC50338
notreflexsupersetdbl;2AC60338
# ============================================== EuclidExtra
planckover2pi;210F
planckover2pi1;210F
# ============================================== MSAM
arrowtailleft;21A2
arrowparrleftright;21C6
arrowtripleright;21DB
arrowtripleleft;21DA
axisshort;2212
circleequal;2257
squiggleleftright;21DC21DD
curlyleft;21AB
curlyright;21AC
equalorless;2A95
equalorgreater;2A96
equalorprecedes;22DE
equalorfollows;22DF
primereverse;2035
trianglerightequal;22B5
triangleleftequal;22B4
triangleleftequal;22B4
between;226C
arrowaxisleft;2190
arrowaxisright;2192
lessequalgreater;22DA
greaterlessequal;22DB
lessdbleqlgreater;2A8B
greaterdbleqlless;2A8C
Yen;00A5
nand;22BC
perpcorrespond;2A5E
smile;2323
frown;2322
uprise;22CF
downfall;22CE
forces;22A9
forcesbar;22AA
satisfies;22A8
followsorequal;227F
precedesorequal;227E
harpoondownright;21C2
measuredangle;2221
multimap;22B8
multiopenleft;22CB
squaresolid;25A0
sphericalangle;2222
trianglesolid;25B2
equaldotrightleft;2253
anticlockwise;27F2
clockwise;27F3
complement;2201
defines;225c
arrowtripleleft;21DA
precedesorcurly;227C
circleasterisk;229B
circlering;229A
circleR;24C7
circleS;24C8
shiftleft;21B0
harpoondownleft;21C3
dblarrowdwn;21CA
greaterorapproxeql;2A86
harpoonupright;21BE
intercal;22BA
lessorapproxeql;2A85
revsimilar;223D
revasymptequal;22CD
rightanglenw;231C
rightanglene;231D
rightanglesw;231E
rightanglese;231F
shiftright;21B1
squiggleright;21DD
squaredot;22A1
triangledownsld;25BE
equalsdots;2251
dotplus;2214
followsorcurly;227D
squaresmallsolid;25AA
lessorsimilar;2272
# ============================================== MSBM
lessornotequal;2268
greaterornotequal;2269
#notlessorslnteql;2270
#notgreaterorslnteql;2271
notlessorslnteql;2A7D0338
notgreaterorslnteql;2A7E0338
lessnotequal;2A87
greaternotequal;2A88
notprecedesoreql;22E0
notfollowsoreql;22E1
notlessdblequal;22660338
notgreaterdblequal;22670338
notapproxequal;2247
notsubsetoreql;2288
notsupersetoreql;2289
notsubsetordbleql;2AC50338
notsupersetordbleql;2AC60338
subsetornoteql;2AC50338
supersetornoteql;2AC60338
notsubseteql;2288
notsuperseteql;2289
notshortbar;2224
notshortparallel;2226
Finv;2132
Gmir;2141
beth;05d1
daleth;05D3
lessdot;22D6
greaterdot;22D7
multicloseleft;22C9
multicloseright;22CA
approxorequal;224A
epsiloninv;03F6
barshort;2223
parallelshort;2225
integerdivide;29F5
archleftdown;21B6
archrightdown;21B7
dividemultiply;22C7
equalorsimilar;2242
follownotdbleqv;2ABA
follownotslnteql;2AB6
followornoteqvlnt;22E9
greaterornotdbleql;2269
greaterornotsimilar;22E7
greaternotdblequal;2A8A
notarrowboth;21AE
notdblarrowleft;21CD
notdblarrowright;21CF
notdblarrowboth;21CE
notarrowleft;219A
notarrowright;219B
notfollows;2281
notforces;22AE
notforcesextra;22AF
notprecedes;2280
nottriangeqlleft;22EC
nottriangeqlright;22ED
# These two have no Unicode points
# notsubsetordbleql
# notsupersetordbleql
notturnstileleft;22ac
lessnotdblequal;2A89
lessornotdbleql;2268
lessornotsimilar;22E6
notturnstile;22AC
notsatisfies;22AD
notsimilar;2241
precedenotdbleqv;2AB9
precedenotslnteql;2AB5
precedeornoteqvlnt;22E8
subsetornotdbleql;2ACB
supersetornotdbleql;2ACC
supersetnoteql;228B
Omegainv;2127
# ============================================== eufm, eufb (euler)
dnos;1D521
dalt;1D521
fnos;1D523
falt;1D523
galt;1D524
kalt;1D528
talt;1D531
ualt;1D532
onealt;0031
Yalt;1D51C
Zalt;2128
# ============================================== stmary (from stmaryrd package)
llbracket;27E6
rrbracket;27E7
binampersand;0026
# ============================================== CharterITC
v.var;0076
i.othershort;0069
# ============================================== (WP) MathA font
mat1;002B
mat3;002D
mat4;2296
mat5;00B1
mat6;2213
#mat7;21A6
mat7;2219
mat8;00D7
mat10;00B0
mat14;2228
mat15;2227
mat18;222A
mat19;2229
mat20;005C
mat24;222B
mat25;222E
mat28;007C
mat29;2225
mat32;003D
mat33;2260
mat34;2261
mat35;2248
mat36;223C
mat39;003E
mat40;003C
mat41;2265
mat42;2264
mat45;22A5
mat53;25B3
mat61;21D2
mat62;21D4
mat70;2192
mat78;21A6
#mat83;2798
mat83;27E8
mat84;27E9
mat85;221E
mat87;2193
mat91;25B3
mat94;2282
mat95;2283
mat96;2286
mat97;2287
mat100;2208
mat101;220B
mat103;227A
mat105;2115
mat106;211A
mat107;2102
mat108;211D
mat109;2124
mat116;007C
mat119;221A
mat122;005B
mat123;005D
mat124;0028
mat125;0029
mat126;007B
mat127;007D
mat129;221A
mat157;2295
mat160;25CB
mat171;2211
mat172;220F
mat211;1D7D9
mat223;221A
# ============================================== MathDesign Regular
vartriangleleft;25c1
notbar;2224
emptysetstress;2205
subsetnoteql;228A
greaterorsimilar;2273
ceilingleftbig3;2308
ceilingleftbig4;2308
ceilingleftbig5;2308
ceilingrightbig3;2309
ceilingrightbig4;2309
ceilingrightbig5;2309
notexistential;2204
kappa1it;1d718
dblarrowup;21c8
arrowparrrightleft;21c4
infinity1;221E
# ============================================== MathDesign Symbol
arrowaxishorizex;23AF
# ============================================== MathDesign Extension
intdisplaycirc;222E
# ============================================== MathDesign MathItalic
hookrightchar;02d3
hookleftchar;02d2
# ============================================== MathDesign bolds
Abbb;1D538
Bbbb;1D539
Cbbb;2102
Dbbb;1D53B
Ebbb;1D53C
Fbbb;1D53D
Gbbb;1D53E
Hbbb;210D
Ibbb;1D540
Jbbb;1D541
Kbbb;1D542
Lbbb;1D543
Mbbb;1D544
Nbbb;2115
Obbb;1D546
Pbbb;2119
Qbbb;211A
Rbbb;211D
Sbbb;1D54A
Tbbb;1D54B
Ubbb;1D54C
Vbbb;1D54D
Wbbb;1D54E
Xbbb;1D54F
Ybbb;1D550
Zbbb;2124
kbbb;1D55C
# ============================= Same as above, but with double 'b'
Abb;1D538
Bbb;1D539
Cbb;2102
Dbb;1D53B
Ebb;1D53C
Fbb;1D53D
Gbb;1D53E
Hbb;210D
Ibb;1D540
Jbb;1D541
Kbb;1D542
Lbb;1D543
Mbb;1D544
Nbb;2115
Obb;1D546
Pbb;2119
Qbb;211A
Rbb;211D
Sbb;1D54A
Tbb;1D54B
Ubb;1D54C
Vbb;1D54D
Wbb;1D54E
Xbb;1D54F
Ybb;1D550
Zbb;2124
# ============================================== Cyrillic Smallcaps
afii10017s;0430
afii10018s;0431
afii10019s;0432
afii10020s;0433
afii10021s;0434
afii10022s;0435
afii10023s;0431
afii10024s;0436
afii10025s;0437
afii10026s;0438
afii10027s;0439
afii10028s;043A
afii10029s;043B
afii10030s;043C
afii10031s;043D
afii10032s;043E
afii10033s;043F
afii10034s;0440
afii10035s;0441
afii10036s;0442
afii10037s;0443
afii10038s;0444
afii10039s;0445
afii10040s;0446
afii10041s;0447
afii10042s;0448
afii10043s;0449
afii10044s;044A
afii10045s;044B
afii10046s;044C
afii10047s;044D
afii10048s;044E
afii10049s;044F
afii10017small;0430
afii10018small;0431
afii10019small;0432
afii10020small;0433
afii10021small;0434
afii10022small;0435
afii10023small;0431
afii10024small;0436
afii10025small;0437
afii10026small;0438
afii10027small;0439
afii10028small;043A
afii10029small;043B
afii10030small;043C
afii10031small;043D
afii10032small;043E
afii10033small;043F
afii10034small;0440
afii10035small;0441
afii10036small;0442
afii10037small;0443
afii10038small;0444
afii10039small;0445
afii10040small;0446
afii10041small;0447
afii10042small;0448
afii10043small;0449
afii10044small;044A
afii10045small;044B
afii10046small;044C
afii10047small;044D
afii10048small;044E
afii10049small;044F
# ============================================== Small letters (small caps?)
Asmall;0061
Bsmall;0062
Csmall;0063
Dsmall;0064
Esmall;0065
Fsmall;0066
Gsmall;0067
Hsmall;0068
Ismall;0069
Jsmall;006A
